path,kind,classification,action,target,rationale
.cursor/commands/generate.md,md,Keep Reference,keep,,non-doc repo markdown retained (tooling/code-adjacent)
.githooks/README.md,md,Keep Reference,keep,,non-doc repo markdown retained (tooling/code-adjacent)
.github/PULL_REQUEST_TEMPLATE.md,md,Keep Reference,keep,,non-doc repo markdown retained (tooling/code-adjacent)
.github/copilot-instructions.md,md,Keep Reference,keep,,non-doc repo markdown retained (tooling/code-adjacent)
44.txt,txt,Archive,move_to_archive,docs/archive/raw/intake_txt/44.txt,intake or transient text artifact outside canonical docs
DB/docs/INDEX_MAP.md,md,Keep Reference,keep,,non-doc repo markdown retained (tooling/code-adjacent)
DB/migrations/README.md,md,Keep Reference,keep,,non-doc repo markdown retained (tooling/code-adjacent)
DB/migrations/README_CONSOLIDATED_SCHEMAS.md,md,Keep Reference,keep,,non-doc repo markdown retained (tooling/code-adjacent)
DB/migrations/archive/README.md,md,Keep Reference,keep,,non-doc repo markdown retained (tooling/code-adjacent)
DB/migrations/archive/README_CONSOLIDATED_SCHEMAS.md,md,Keep Reference,keep,,non-doc repo markdown retained (tooling/code-adjacent)
DB/migrations/bundle_reference/README.md,md,Keep Reference,keep,,non-doc repo markdown retained (tooling/code-adjacent)
ENV_VARS_CHECKLIST.md,md,Keep Reference,keep,,non-doc repo markdown retained (tooling/code-adjacent)
IMPLEMENTATION_GUIDE.md,md,Keep Reference,keep,,non-doc repo markdown retained (tooling/code-adjacent)
NEXT_5_MOVES.md,md,Keep Reference,keep,,non-doc repo markdown retained (tooling/code-adjacent)
NEXT_5_STRATEGIC_MOVES.md,md,Keep Reference,keep,,non-doc repo markdown retained (tooling/code-adjacent)
README.md,md,Keep Reference,keep,,non-doc repo markdown retained (tooling/code-adjacent)
SERVER_STARTUP_GUIDE.md,md,Keep Reference,keep,,non-doc repo markdown retained (tooling/code-adjacent)
TEST_ACCOUNTS_REFERENCE.md,md,Keep Reference,keep,,non-doc repo markdown retained (tooling/code-adjacent)
annalyze and review files for puretask - needs review.txt,txt,Archive,move_to_archive,docs/archive/raw/intake_txt/annalyze and review files for puretask - needs review.txt,intake or transient text artifact outside canonical docs
backend analysis and feedback puretask- needs review.txt,txt,Archive,move_to_archive,docs/archive/raw/intake_txt/backend analysis and feedback puretask- needs review.txt,intake or transient text artifact outside canonical docs
basee 44 with backend puretask - needs review.txt,txt,Archive,move_to_archive,docs/archive/raw/intake_txt/basee 44 with backend puretask - needs review.txt,intake or transient text artifact outside canonical docs
begining of puretask - need to analyzze.txt,txt,Archive,move_to_archive,docs/archive/raw/intake_txt/begining of puretask - need to analyzze.txt,intake or transient text artifact outside canonical docs
blog post writer skill.txt,txt,Archive,move_to_archive,docs/archive/raw/intake_txt/blog post writer skill.txt,intake or transient text artifact outside canonical docs
cleaner payout system review - needs review.txt,txt,Archive,move_to_archive,docs/archive/raw/intake_txt/cleaner payout system review - needs review.txt,intake or transient text artifact outside canonical docs
